id,author,book_title,original_title,date,duration,url
w3csyx6d,David Nicholls,Us,David Nicholls - Us,3 Nov 2019,49 mins,https://www.bbc.com/audio/play/w3csyx6d
w3ct74rz,Abdulrazak Gurnah,Paradise,Abdulrazak Gurnah: Paradise,3 May 2025,49 mins,https://www.bbc.com/audio/play/w3ct74rz
w3csvtz4,Junot Diaz,The Brief Wondrous Life of Oscar Wao,Junot Diaz: The Brief Wondrous Life of Oscar Wao,3 Mar 2018,49 mins,https://www.bbc.com/audio/play/w3csvtz4
w3ct4xlg,Judith Kerr,When Hitler Stole Pink Rabbit,Judith Kerr: When Hitler Stole Pink Rabbit,3 Jun 2023,50 mins,https://www.bbc.com/audio/play/w3ct4xlg
p05465fl,Jeffrey Archer,Kane and Abel,Jeffrey Archer - Kane and Abel,3 Jun 2017,49 mins,https://www.bbc.com/audio/play/p05465fl
w3ct1x9p,Jane Harper,The Dry,Jane Harper: The Dry,3 Jul 2021,49 mins,https://www.bbc.com/audio/play/w3ct1x9p
w3cszmx6,Sjón,Moonstone: The Boy Who Never Was,Sjón - Moonstone: The Boy Who Never Was,3 Jan 2021,49 mins,https://www.bbc.com/audio/play/w3cszmx6
w3ct4xlq,Carlo Rovelli,Seven Brief Lessons on Physics,Carlo Rovelli: Seven Brief Lessons on Physics,3 Feb 2024,49 mins,https://www.bbc.com/audio/play/w3ct4xlq
w3cswssr,JoJo Moyes,Me Before You,JoJo Moyes - Me Before You,3 Feb 2019,49 mins,https://www.bbc.com/audio/play/w3cswssr
w3csvtz3,Jackie Kay,Trumpet,Jackie Kay: Trumpet,3 Feb 2018,48 mins,https://www.bbc.com/audio/play/w3csvtz3
w3ct3c7r,Sunjeev Sahota,The Year of the Runaways,Sunjeev Sahota - The Year of the Runaways,3 Dec 2022,49 mins,https://www.bbc.com/audio/play/w3ct3c7r
p04j22df,Margaret Drabble,The Millstone,Margaret Drabble - The Millstone,3 Dec 2016,49 mins,https://www.bbc.com/audio/play/p04j22df
w3ct5r3r,Paul Auster,New York Trilogy,Paul Auster: New York Trilogy,3 Aug 2024,49 mins,https://www.bbc.com/audio/play/w3ct5r3r
w3ct1x9l,Robert Seethaler,A Whole Life,Robert Seethaler: A Whole Life,3 Apr 2021,49 mins,https://www.bbc.com/audio/play/w3ct1x9l
w3ct6r9p,,World Book Café: Oslo,World Book Café: Oslo,25 Jan 2025,49 mins,https://www.bbc.com/audio/play/w3ct6r9p
p02r7wxw,AS Byatt,Possession,AS Byatt - Possession,23 Mar 2004,26 mins,https://www.bbc.com/audio/play/p02r7wxw
w3ct4xlk,Audrey Niffenegger,The Time Traveler's Wife,Audrey Niffenegger: The Time Traveler's Wife,2 Sep 2023,49 mins,https://www.bbc.com/audio/play/w3ct4xlk
w3csv2bn,Sebastian Barry,The Secret Scripture,Sebastian Barry - The Secret Scripture,2 Sep 2017,49 mins,https://www.bbc.com/audio/play/w3csv2bn
w3ct1x9s,Wole Soyinka,,Wole Soyinka,2 Oct 2021,49 mins,https://www.bbc.com/audio/play/w3ct1x9s
w3ct5r3w,Kate Mosse,Labyrinth,Kate Mosse: Labyrinth,2 Nov 2024,48 mins,https://www.bbc.com/audio/play/w3ct5r3w
w3cszmwy,Hilary Mantel,Bring Up the Bodies,Hilary Mantel - Bring Up the Bodies,2 May 2020,49 mins,https://www.bbc.com/audio/play/w3cszmwy
w3ct4xlr,Ann Patchett,The Dutch House,Ann Patchett: The Dutch House,2 Mar 2024,49 mins,https://www.bbc.com/audio/play/w3ct4xlr
w3csyx67,Siri Hustvedt,What I Loved,Siri Hustvedt - What I Loved,2 Jun 2019,49 mins,https://www.bbc.com/audio/play/w3csyx67
w3cswssh,Amy Bloom,Away,Amy Bloom: Away,2 Jun 2018,50 mins,https://www.bbc.com/audio/play/w3cswssh
w3ct3c7l,Mohsin Hamid,Exit West,Mohsin Hamid: Exit West,2 Jul 2022,49 mins,https://www.bbc.com/audio/play/w3ct3c7l
p03zhfs6,Juan Gabriel Vasquez,The Sound of Things Falling,Juan Gabriel Vasquez - The Sound of Things Falling,2 Jul 2016,49 mins,https://www.bbc.com/audio/play/p03zhfs6
p03bh893,Elizabeth Gilbert,"Eat, Pray, Love","Elizabeth Gilbert: Eat, Pray, Love",2 Jan 2016,49 mins,https://www.bbc.com/audio/play/p03bh893
w3csyx6h,Petina Gappah,The Book of Memory,Petina Gappah - The Book of Memory,2 Feb 2020,49 mins,https://www.bbc.com/audio/play/w3csyx6h
w3ct4xln,Shehan Karunatilaka,The Seven Moons of Maali Almeida,Shehan Karunatilaka: The Seven Moons of Maali Almeida,2 Dec 2023,49 mins,https://www.bbc.com/audio/play/w3ct4xln
w3cswssp,Chan Koonchung,The Fat Years,Chan Koonchung - The Fat Years,2 Dec 2018,49 mins,https://www.bbc.com/audio/play/w3cswssp
w3csvtz1,Richard Flanagan,Narrow Road to the Deep North,Richard Flanagan: Narrow Road to the Deep North,2 Dec 2017,49 mins,https://www.bbc.com/audio/play/w3csvtz1
w3ct74s2,Juhea Kim,Beasts of a Little Land,Juhea Kim - Beasts of a Little Land,2 Aug 2025,58 mins,https://www.bbc.com/audio/play/w3ct74s2
w3ct3c7h,NoViolet Bulawayo,We Need New Names,NoViolet Bulawayo: We Need New Names,2 Apr 2022,49 mins,https://www.bbc.com/audio/play/w3ct3c7h
p03p54m5,Nuruddin Farah,Maps,Nuruddin Farah - Maps,2 Apr 2016,50 mins,https://www.bbc.com/audio/play/p03p54m5
w3ct57k6,,World Book Café: Paris,World Book Cafe: Paris,18 Mar 2023,49 mins,https://www.bbc.com/audio/play/w3ct57k6
p0cfkw3t,,World Book Café: Brooklyn,World Book Cafe: Brooklyn,18 Jun 2022,49 mins,https://www.bbc.com/audio/play/p0cfkw3t
w3ct6r9n,,World Book Café: Toronto,World Book Cafe: Toronto,13 Jul 2024,48 mins,https://www.bbc.com/audio/play/w3ct6r9n
w3ct6chf,,World Book Café: Madrid,Madrid,10 Feb 2024,48 mins,https://www.bbc.com/audio/play/w3ct6chf
w3cswssl,James Ellroy,American Tabloid,James Ellroy - American Tabloid,1 Sep 2018,49 mins,https://www.bbc.com/audio/play/w3cswssl
w3ct3c7p,Brit Bennett,The Vanishing Half,Brit Bennett: The Vanishing Half,1 Oct 2022,49 mins,https://www.bbc.com/audio/play/w3ct3c7p
p048y3s7,Anne Enright,The Gathering,Anne Enright - The Gathering,1 Oct 2016,49 mins,https://www.bbc.com/audio/play/p048y3s7
w3ct74s5,Oyinkan Braithwaite,"My Sister, The Serial Killer","Oyinkan Braithwaite - My Sister, The Serial Killer",1 Nov 2025,50 mins,https://www.bbc.com/audio/play/w3ct74s5
w3ct1x9m,Louise Penny,Still Life,Louise Penny: Still Life,1 May 2021,49 mins,https://www.bbc.com/audio/play/w3ct1x9m
w3ct5r40,Ottessa Moshfegh,My Year of Rest and Relaxation,Ottessa Moshfegh: My Year of Rest and Relaxation,1 Mar 2025,58 mins,https://www.bbc.com/audio/play/w3ct5r40
w3ct5r3p,Miriam Toews,Women Talking,Miriam Toews: Women Talking,1 Jun 2024,48 mins,https://www.bbc.com/audio/play/w3ct5r3p
w3ct4xlh,Sofi Oksanen,Purge,Sofi Oksanen: Purge,1 Jul 2023,50 mins,https://www.bbc.com/audio/play/w3ct4xlh
p056vtwn,Tim Winton,Cloudstreet,Tim Winton - Cloudstreet,1 Jul 2017,49 mins,https://www.bbc.com/audio/play/p056vtwn
w3ct1x9w,Naoise Dolan,Exciting Times,Naoise Dolan: Exciting Times,1 Jan 2022,49 mins,https://www.bbc.com/audio/play/w3ct1x9w
w3ct5r3z,Meg Rosoff,How I Live Now,Meg Rosoff: How I Live Now,1 Feb 2025,49 mins,https://www.bbc.com/audio/play/w3ct5r3z
w3ct5r41,Edna O'Brien,The Country Girls,Edna O'Brien: The Country Girls,1 Aug 2024,26 mins,https://www.bbc.com/audio/play/w3ct5r41
w3cszmx1,Helen Garner,The Spare Room,Helen Garner: The Spare Room,1 Aug 2020,49 mins,https://www.bbc.com/audio/play/w3cszmx1
w3ct4xld,Paul Theroux,Deep South,Paul Theroux: Deep South,1 Apr 2023,49 mins,https://www.bbc.com/audio/play/w3ct4xld
p04y163q,Robert Harris,Imperium,Robert Harris - Imperium,1 Apr 2017,49 mins,https://www.bbc.com/audio/play/p04y163q
